0x00	Cmd_Actor_HeroFromDoor
0x4B	Cmd_Flow_Pass
0x4C	Cmd_Flow_SwitchRange
0x4D	Cmd_Flow_ResetScript
0x4E	Cmd_Flow_Switch
0x4F	Cmd_Frame_SpriteDraw
0x50	Cmd_Frame_SpriteBlock
0x51	Cmd_Frame_SpriteInvisible
0x52	Cmd_Frame_OverlayDraw
0x53	Cmd_Frame_OverlayInit
0x54	Cmd_Frame_OverlayInvisible
0x55	Cmd_Global_ClearSync
0x56	Cmd_Global_SetAnyEventMaster
0x57	Cmd_Global_SetAnyEventScroll
0x58	Cmd_Global_SetAnyEventText
0x59	Cmd_Global_SetEventMaster
0x5A	Cmd_Global_SetEventScroll
0x5B	Cmd_Global_SetEventText
0x5C	Cmd_Global_SetScriptMaster
0x5D	Cmd_Global_SetScriptScroll
0x5E	Cmd_Global_SetScriptText
0x5F	Cmd_Global_Sync
0x60	Cmd_Global_WaitAnyEventMaster
0x61	Cmd_Global_WaitAnyEventScroll
0x62	Cmd_Global_WaitAnyEventText
0x63	Cmd_Global_WaitEventMaster
0x64	Cmd_Global_WaitEventScroll
0x65	Cmd_Global_WaitEventText
0x66	Cmd_Load_LargeStaticTilemap
0x67	Cmd_Load_Hotspots
0x68	Cmd_Load_Scene
0x69	Cmd_Load_SpritePalette
0x6A	Cmd_Load_Map
0x6B	Cmd_Load_MapMask
0x6C	Cmd_Load_Triggers
0x6D	Cmd_Load_BitmapSet
0x6E	Cmd_Load_Bitmap
0x6F	Cmd_Load_KQ_UnkSpot
0x70	Cmd_Palette_ArenaFadeToColor
0x71	Cmd_Palette_ArenaFadeToBase
0x72	Cmd_Palette_ClearBase
0x73	Cmd_Palette_ClearAnim
0x74	Cmd_Palette_CreatureCycle
0x75	Cmd_Palette_CreatureFadeToColor
0x76	Cmd_Palette_CreatureFadeToBase
0x77	Cmd_Palette_CreatureLoad
0x78	Cmd_Palette_CreatureFlash
0x79	Cmd_Palette_CreatureInvert
0x7A	Cmd_Palette_FadeAnimToBase
0x7B	Cmd_Palette_FadeAnimToColor
0x7C	Cmd_Palette_Load
0x7D	Cmd_Palette_Refresh
0x7E	Cmd_Palette_Cycle
0x7F	Cmd_Palette_Invert
0x80	Cmd_Scroll_CameraSeekPos
0x81	Cmd_Scroll_CameraSeekActor
0x82	Cmd_Scroll_TransplantMap
0x83	Cmd_Scroll_TransplantMapMask
0x84	Cmd_Scroll_TransplantTile
0x85	Cmd_Scroll_TransplantMaskTile
0x86	Cmd_Scroll_HeroSetCamera
0x87	Cmd_Scroll_ScrollMap
0x88	Cmd_Scroll_SetCamera
0x89	Cmd_Scroll_SetCollMask
0x8A	Cmd_System_BackgroundSceneNew
0x8B	Cmd_System_InventoryGive
0x8C	Cmd_System_InventoryTake
0x8D	Cmd_System_LoadGame
0x8E	Cmd_System_CopyLoadGame
0x8F	Cmd_System_MenuHistorian
0x90	Cmd_System_MenuMusic
0x91	Cmd_System_MenuRingBank
0x92	Cmd_System_MenuRingSmith
0x93	Cmd_System_MenuRingUpgrade
0x94	Cmd_System_MenuShop
0x95	Cmd_System_NewGame
0x96	Cmd_System_SaveGame
0x97	Cmd_System_SceneNew
0x98	Cmd_System_SceneReady
0x99	Cmd_System_SetItemSpellMapError
0x9A	Cmd_System_SaveLocation
0x9B	Cmd_System_KQ_SetStartButtonScript
0x9C	Cmd_System_KQ_SetCheatCode
0x9D	Cmd_System_KQ_AwaitCheatCode
0x9E	Cmd_System_KQ_ResetActorList
0x9F	Cmd_Textbox_FormatChar
0xA0	Cmd_Textbox_Clear
0xA1	Cmd_Textbox_Close
0xA2	Cmd_Textbox_Icon
0xA3	Cmd_Textbox_Menu
0xA4	Cmd_Textbox_Open
0xA5	Cmd_Textbox_FormatWord
0xA6	Cmd_Textbox_Write
0xA7	Cmd_Trigger_ToggleAlways
0xA8	Cmd_Trigger_ToggleOnce
0xA9	Cmd_Trigger_TriggerAlways
0xAA	Cmd_Trigger_TriggerOnce
0xAB	Cmd_Trigger_Treasure
0xAC	Cmd_Ram_VarBitExpr
0xAD	Cmd_Ram_VarByteExpr
0xAE	Cmd_Ram_VarWordExpr
0xAF	Cmd_Ram_NextGameCount
0xB0	Cmd_Ram_SetGameCount
0xB1	Cmd_Ram_SetWramByte
0xB2	Cmd_Ram_SetWramWord
0xB3	Cmd_Ram_SetXramByte
0xB4	Cmd_Ram_SetXramWord
0xB5	Cmd_Ram_AndXramByte
0xB6	Cmd_Ram_OrXramByte
